Model,MDO3024
Firmware Version,1.30

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,1e-05,,
Horizontal Delay,3e-07,,
Sample Interval,1e-08,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,10,1
Vertical Units,V,V,A
Vertical Offset,0,10,0.0452
Vertical Scale,5,0.2,0.005
Vertical Position,2.66,4.86,-0.66
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH4
-4.719e-05,4.5,9.372,0.0455
-4.718e-05,4.5,9.38,0.0455
-4.717e-05,4.3,9.372,0.0453
-4.716e-05,4.7,9.372,0.0457
-4.715e-05,4.5,9.372,0.0453
-4.714e-05,4.5,9.364,0.0453
-4.713e-05,4.7,9.364,0.0453
-4.712e-05,4.5,9.364,0.0453
-4.711e-05,4.7,9.372,0.0455
-4.710e-05,4.7,9.364,0.0451
-4.709e-05,4.7,9.364,0.0455
-4.708e-05,4.5,9.364,0.0451
-4.707e-05,4.5,9.364,0.0451
-4.706e-05,4.7,9.356,0.0451
-4.705e-05,4.5,9.356,0.0453
-4.704e-05,4.5,9.364,0.0451
-4.703e-05,4.3,9.364,0.0453
-4.702e-05,4.5,9.356,0.0453
-4.701e-05,4.7,9.364,0.0449
-4.700e-05,4.7,9.364,0.0453
-4.699e-05,4.5,9.364,0.0457
-4.698e-05,4.5,9.356,0.0455
-4.697e-05,4.5,9.356,0.0451
-4.696e-05,4.7,9.356,0.0455
-4.695e-05,4.5,9.356,0.0449
-4.694e-05,4.5,9.364,0.0453
-4.693e-05,4.5,9.356,0.0453
-4.692e-05,4.5,9.356,0.0451
-4.691e-05,4.5,9.348,0.0451
-4.690e-05,4.7,9.356,0.0451
-4.689e-05,4.5,9.348,0.0453
-4.688e-05,4.5,9.348,0.0451
-4.687e-05,4.5,9.356,0.0451
-4.686e-05,4.7,9.356,0.0455
-4.685e-05,4.5,9.332,0.0451
-4.684e-05,4.5,9.348,0.0451
-4.683e-05,4.5,9.348,0.0451
-4.682e-05,4.3,9.356,0.0453
-4.681e-05,4.3,9.34,0.0451
-4.680e-05,4.7,9.34,0.0451
-4.679e-05,4.7,9.34,0.0451
-4.678e-05,4.5,9.348,0.0449
-4.677e-05,4.5,9.34,0.0453
-4.676e-05,4.5,9.34,0.0451
-4.675e-05,4.7,9.34,0.0451
-4.674e-05,4.5,9.34,0.0451
