Model,MDO3024
Firmware Version,1.30

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,1e-05,
Horizontal Delay,0,
Sample Interval,1e-08,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,5.03,0
Vertical Scale,1,2
Vertical Position,2.2,-2.8
,,
,,
,,
Label,,
TIME,CH1,CH2
-4.651e-05,4.67,3.52
-4.650e-05,4.71,3.52
-4.649e-05,4.75,3.6
-4.648e-05,4.71,3.52
-4.647e-05,4.71,3.52
-4.646e-05,4.75,3.6
-4.645e-05,4.71,3.68
-4.644e-05,4.75,3.44
-4.643e-05,4.71,3.6
-4.642e-05,4.75,3.6
-4.641e-05,4.75,3.52
-4.640e-05,4.75,3.52
-4.639e-05,4.71,3.52
-4.638e-05,4.75,3.6
-4.637e-05,4.71,3.6
-4.636e-05,4.71,3.6
-4.635e-05,4.71,3.6
-4.634e-05,4.75,3.6
-4.633e-05,4.75,3.6
-4.632e-05,4.71,3.6
-4.631e-05,4.71,3.6
-4.630e-05,4.75,3.68
-4.629e-05,4.75,3.6
-4.628e-05,4.71,3.68
-4.627e-05,4.71,3.6
-4.626e-05,4.71,3.52
-4.625e-05,4.67,3.6
-4.624e-05,4.71,3.6
-4.623e-05,4.75,3.52
-4.622e-05,4.75,3.52
-4.621e-05,4.71,3.68
-4.620e-05,4.75,3.6
-4.619e-05,4.75,3.6
-4.618e-05,4.71,3.52
-4.617e-05,4.71,3.6
-4.616e-05,4.75,3.52
-4.615e-05,4.75,3.52
-4.614e-05,4.75,3.6
-4.613e-05,4.75,3.52
-4.612e-05,4.71,3.6
-4.611e-05,4.75,3.68
-4.610e-05,4.75,3.52
-4.609e-05,4.71,3.68
-4.608e-05,4.71,3.6
-4.607e-05,4.71,3.68
-4.606e-05,4.75,3.6
-4.605e-05,4.75,3.52
-4.604e-05,4.75,3.6
-4.603e-05,4.75,3.52
-4.602e-05,4.75,3.52
-4.601e-05,4.75,3.6
-4.600e-05,4.71,3.6
-4.599e-05,4.75,3.52
-4.598e-05,4.75,3.44
-4.597e-05,4.71,3.6
-4.596e-05,4.71,3.68
-4.595e-05,4.75,3.68
-4.594e-05,4.75,3.6
-4.593e-05,4.75,3.52
-4.592e-05,4.75,3.6
-4.591e-05,4.75,3.6
-4.590e-05,4.75,3.52
-4.589e-05,4.71,3.52
-4.588e-05,4.75,3.52
-4.587e-05,4.75,3.6
-4.586e-05,4.71,3.6
-4.585e-05,4.75,3.6
-4.584e-05,4.71,3.6
-4.583e-05,4.71,3.68
-4.582e-05,4.71,2.32
-4.581e-05,4.75,0.88
-4.580e-05,4.75,0.24
-4.579e-05,4.75,0.4
-4.578e-05,4.71,0.32
-4.577e-05,4.75,0.24
-4.576e-05,4.75,0.4
-4.575e-05,4.67,0.64
-4.574e-05,4.71,0.64
-4.573e-05,4.71,0.72
-4.572e-05,4.79,0.72
-4.571e-05,4.67,0.72
-4.570e-05,4.71,0.72
-4.569e-05,4.71,0.72
-4.568e-05,4.59,0.8
-4.567e-05,4.59,0.8
-4.566e-05,4.71,0.64
-4.565e-05,4.59,0.8
-4.564e-05,4.67,0.72
-4.563e-05,4.71,0.88
-4.562e-05,4.39,1.28
-4.561e-05,4.39,2
-4.560e-05,5.31,1.84
-4.559e-05,5.47,1.04
-4.558e-05,4.19,0.88
-4.557e-05,3.71,1.6
-4.556e-05,4.87,1.6
-4.555e-05,5.39,0.4
-4.554e-05,4.55,0.72
-4.553e-05,3.83,1.84
-4.552e-05,4.43,0.64
-4.551e-05,5.15,0.24
-4.550e-05,5.23,0.56
-4.549e-05,4.99,0.64
-4.548e-05,4.47,0.56
-4.547e-05,4.27,0.4
-4.546e-05,4.79,0.48
-4.545e-05,5.23,0.64
-4.544e-05,4.91,0.72
-4.543e-05,4.23,0.64
-4.542e-05,4.39,0.64
-4.541e-05,5.07,0.48
-4.540e-05,5.31,0.48
-4.539e-05,4.63,0.64
-4.538e-05,4.27,0.72
-4.537e-05,4.55,0.56
-4.536e-05,5.07,0.56
-4.535e-05,5.03,0.56
-4.534e-05,4.55,0.64
-4.533e-05,4.27,0.72
-4.532e-05,4.55,0.72
-4.531e-05,5.15,0.56
-4.530e-05,5.15,0.48
-4.529e-05,4.55,0.56
-4.528e-05,4.19,0.64
-4.527e-05,4.71,0.64
-4.526e-05,5.23,0.64
-4.525e-05,4.99,0.56
-4.524e-05,4.43,0.56
-4.523e-05,4.27,0.72
-4.522e-05,4.75,0.56
-4.521e-05,5.07,0.64
-4.520e-05,4.83,0.56
-4.519e-05,4.43,0.72
-4.518e-05,4.43,0.56
-4.517e-05,4.83,0.64
-4.516e-05,4.95,0.64
-4.515e-05,4.75,0.64
-4.514e-05,4.51,0.64
-4.513e-05,4.63,0.64
-4.512e-05,4.91,0.48
-4.511e-05,4.91,0.56
-4.510e-05,4.63,0.56
-4.509e-05,4.51,0.64
-4.508e-05,4.67,0.48
-4.507e-05,4.87,0.64
-4.506e-05,4.87,0.56
-4.505e-05,4.63,0.64
-4.504e-05,4.47,0.64
-4.503e-05,4.63,0.64
-4.502e-05,4.87,0.72
-4.501e-05,4.87,0.64
-4.500e-05,4.63,0.56
-4.499e-05,4.51,0.64
-4.498e-05,4.71,0.64
-4.497e-05,4.91,0.64
-4.496e-05,4.83,0.56
-4.495e-05,4.67,0.64
-4.494e-05,4.63,0.64
-4.493e-05,4.75,0.56
-4.492e-05,4.87,0.56
-4.491e-05,4.75,0.72
-4.490e-05,4.63,0.72
-4.489e-05,4.63,0.64
-4.488e-05,4.75,0.64
-4.487e-05,4.83,0.56
-4.486e-05,4.75,0.64
-4.485e-05,4.63,0.72
-4.484e-05,4.63,0.64
-4.483e-05,4.79,0.64
-4.482e-05,4.83,0.64
-4.481e-05,4.75,0.64
-4.480e-05,4.63,0.64
-4.479e-05,4.67,0.64
-4.478e-05,4.75,0.64
-4.477e-05,4.79,0.56
-4.476e-05,4.71,0.64
-4.475e-05,4.63,0.56
-4.474e-05,4.67,0.72
-4.473e-05,4.75,0.64
-4.472e-05,4.71,0.72
-4.471e-05,4.75,0.64
-4.470e-05,4.71,0.64
-4.469e-05,4.75,0.72
-4.468e-05,4.79,0.64
-4.467e-05,4.75,0.64
-4.466e-05,4.71,0.64
-4.465e-05,4.71,0.72
-4.464e-05,4.75,0.64
-4.463e-05,4.75,0.64
-4.462e-05,4.71,0.64
-4.461e-05,4.71,0.64
-4.460e-05,4.71,0.64
-4.459e-05,4.75,0.64
-4.458e-05,4.75,0.72
-4.457e-05,4.71,0.72
-4.456e-05,4.67,0.64
-4.455e-05,4.75,0.72
-4.454e-05,4.75,0.72
-4.453e-05,4.71,0.64
-4.452e-05,4.75,0.64
-4.451e-05,4.71,0.64
-4.450e-05,4.75,0.64
-4.449e-05,4.79,0.64
-4.448e-05,4.75,0.64
-4.447e-05,4.71,0.72
-4.446e-05,4.71,0.64
-4.445e-05,4.75,0.72
-4.444e-05,4.79,0.64
-4.443e-05,4.71,0.72
-4.442e-05,4.71,0.72
-4.441e-05,4.75,0.64
-4.440e-05,4.75,0.72
-4.439e-05,4.75,0.72
-4.438e-05,4.75,0.64
-4.437e-05,4.75,0.64
-4.436e-05,4.75,0.64
-4.435e-05,4.83,0.72
-4.434e-05,4.75,0.72
-4.433e-05,4.75,0.64
-4.432e-05,4.75,0.72
-4.431e-05,4.75,0.72
-4.430e-05,4.71,0.72
-4.429e-05,4.75,0.64
-4.428e-05,4.75,0.64
-4.427e-05,4.75,0.72
-4.426e-05,4.75,0.72
-4.425e-05,4.75,0.64
-4.424e-05,4.75,0.72
-4.423e-05,4.75,0.64
-4.422e-05,4.75,0.72
-4.421e-05,4.75,0.64
-4.420e-05,4.75,0.72
-4.419e-05,4.79,0.72
-4.418e-05,4.71,0.64
-4.417e-05,4.75,0.72
-4.416e-05,4.75,0.64
-4.415e-05,4.75,0.64
-4.414e-05,4.75,0.72
-4.413e-05,4.71,0.64
-4.412e-05,4.79,0.64
-4.411e-05,4.71,0.8
-4.410e-05,4.79,0.64
-4.409e-05,4.75,0.72
-4.408e-05,4.75,0.64
-4.407e-05,4.79,0.64
-4.406e-05,4.75,0.64
-4.405e-05,4.75,0.64
-4.404e-05,4.75,0.72
-4.403e-05,4.75,0.56
-4.402e-05,4.75,0.72
-4.401e-05,4.75,0.64
-4.400e-05,4.75,0.64
-4.399e-05,4.71,0.64
-4.398e-05,4.71,0.64
-4.397e-05,4.75,0.64
-4.396e-05,4.71,0.64
-4.395e-05,4.75,0.72
-4.394e-05,4.71,0.72
-4.393e-05,4.71,0.64
-4.392e-05,4.75,0.72
-4.391e-05,4.71,0.64
-4.390e-05,4.75,0.56
-4.389e-05,4.75,0.64
-4.388e-05,4.75,0.72
-4.387e-05,4.75,0.72
-4.386e-05,4.79,0.64
-4.385e-05,4.75,0.64
-4.384e-05,4.75,0.64
-4.383e-05,4.71,0.72
-4.382e-05,4.71,0.72
-4.381e-05,4.71,0.8
